"Date","Delta","Events"
"2016-05-03 15:28:54.339041","1","1"
"2016-05-03 16:59:05.083078","1","1"
"2016-05-03 21:55:27.737806","1","1"
"2016-05-03 23:47:43.213982","1","1"
"2016-05-04 02:11:58.366959","1","1"
"2016-05-04 07:33:44.610518","2","2"
"2016-05-04 15:18:07.890327","2","2"
"2016-05-04 18:31:46.071658","1","1"
"2016-05-04 22:13:41.359179","1","1"
"2016-05-05 13:00:07.857107","1","1"
"2016-05-05 19:30:37.823293","1","1"
"2016-05-05 20:40:43.796273","2","2"
"2016-05-06 08:29:11.748979","2","2"
"2016-05-06 12:47:21.019736","2","2"
"2016-05-06 13:53:07.064622","1","1"
"2016-05-06 19:07:34.851767","1","1"
"2016-05-06 22:00:29.878301","1","1"
"2016-05-07 00:52:24.933410","2","2"
"2016-05-07 08:30:43.990702","1","1"
"2016-05-07 11:24:20.591031","1","1"
"2016-05-07 17:18:15.366685","1","1"
"2016-05-07 20:17:16.917214","1","1"
"2016-05-07 21:20:02.484830","1","1"
"2016-05-07 23:57:35.663428","2","2"
"2016-05-08 01:09:13.197719","1","1"
"2016-05-08 10:51:19.419643","0","4"
"2016-05-08 14:45:36.726376","1","1"
"2016-05-08 16:19:01.932051","1","1"
"2016-05-09 02:20:56.394624","1","1"
"2016-05-09 06:58:17.287410","1","1"
"2016-05-10 06:45:20.766160","1","1"
"2016-05-10 23:35:45.109723","1","1"
"2016-05-11 02:08:22.496954","1","1"
"2016-05-11 10:23:59.960097","1","1"
"2016-05-11 12:32:05.293989","0","2"
"2016-05-11 18:13:10.533387","1","1"
"2016-05-11 21:35:47.162973","1","1"
"2016-05-12 10:57:41.755283","1","1"
"2016-05-13 01:06:21.478631","0","2"
"2016-05-13 18:20:02.408398","1","1"
"2016-05-13 21:40:56.395224","1","1"
"2016-05-14 05:24:33.686728","2","2"
"2016-05-15 12:29:10.874559","2","2"
"2016-05-15 17:28:07.962858","1","1"
"2016-05-16 14:36:46.277862","1","1"
"2016-05-16 22:06:38.961668","0","2"
"2016-05-17 00:24:21.944840","-1","1"
"2016-05-18 09:27:03.196629","1","1"
"2016-05-18 15:01:56.114724","1","1"
"2016-05-18 18:25:47.583112","3","3"
"2016-05-18 22:19:38.940379","1","1"
"2016-05-19 11:47:54.706286","-1","1"
"2016-05-20 01:29:07.627139","1","1"
"2016-05-20 14:01:51.838116","3","3"
"2016-05-21 16:38:16.338570","1","1"
"2016-05-21 18:33:27.355194","1","1"
"2016-05-21 19:59:38.303666","1","1"
"2016-05-23 21:42:31.986444","-1","1"
"2016-05-24 00:42:48.705450","1","1"
"2016-05-25 18:07:46.379876","1","1"
"2016-05-26 16:15:44.014568","0","2"
"2016-05-26 17:51:05.544840","1","1"
"2016-05-27 00:19:54.890752","1","1"
"2016-05-27 09:57:52.861668","1","1"
"2016-05-27 22:05:26.180171","1","1"
"2016-05-28 17:04:54.044517","1","1"
"2016-05-28 20:38:36.454097","1","1"
"2016-05-29 06:12:45.290945","1","1"
"2016-05-30 08:44:06.256630","1","1"
"2016-05-30 18:34:15.415555","1","1"
"2016-05-31 14:35:18.178226","1","1"
"2016-05-31 20:27:15.873131","1","1"
"2016-06-01 05:19:59.895577","1","1"
"2016-06-02 13:51:33.725751","1","1"
"2016-06-02 20:22:55.496507","1","1"
"2016-06-03 01:01:48.302216","1","1"
"2016-06-03 04:20:34.271258","1","1"
"2016-06-03 05:34:48.314953","1","1"
"2016-06-06 08:17:28.010078","1","1"
"2016-06-06 15:49:27.657465","1","1"
"2016-06-06 22:23:53.710548","1","1"
"2016-06-08 01:14:45.019461","1","1"
"2016-06-09 18:13:04.428626","1","1"
"2016-06-11 07:35:12.164863","2","2"
"2016-06-12 16:38:03.334526","1","1"
"2016-06-13 07:20:23.594565","1","1"
"2016-06-13 22:24:22.987081","1","1"
"2016-06-14 20:04:20.965843","1","1"
"2016-06-16 01:43:47.380454","1","1"
"2016-06-17 15:32:27.598497","1","1"
"2016-06-18 13:02:02.870432","1","1"
"2016-06-19 22:01:23.556242","2","2"
"2016-06-20 13:02:01.937344","1","1"
"2016-06-22 14:53:02.822108","1","1"
"2016-06-22 19:40:31.870797","-1","1"
"2016-06-23 19:22:35.883943","1","1"
"2016-06-24 01:26:13.266756","1","1"
"2016-06-24 03:30:54.168619","1","1"
"2016-06-24 16:17:21.912918","1","1"
"2016-06-24 18:12:45.490220","2","2"
"2016-06-25 01:41:57.268696","1","1"
"2016-06-25 12:28:38.939807","2","2"
"2016-06-25 17:50:10.461668","1","1"
"2016-06-25 20:33:51.488416","1","1"
"2016-06-26 02:42:20.936517","1","1"
"2016-06-26 04:44:17.547028","1","1"
"2016-06-26 07:33:18.455491","2","2"
"2016-06-26 21:47:28.396819","1","1"
"2016-06-26 22:51:39.883709","1","1"
"2016-06-27 07:16:45.908822","1","1"
"2016-06-27 09:18:08.630577","1","1"
"2016-06-27 22:43:25.300139","1","1"
"2016-06-28 11:20:32.715573","1","1"
"2016-06-28 17:32:20.746553","1","1"
"2016-06-29 07:58:01.535223","1","1"
"2016-06-30 14:03:10.059919","1","1"
"2016-06-30 16:05:40.302637","1","1"
"2016-06-30 20:53:30.342522","1","1"
"2016-07-01 17:02:36.224436","1","1"
"2016-07-01 20:31:15.379897","2","2"
"2016-07-03 00:35:46.994057","2","2"
"2016-07-03 12:33:32.675339","1","1"
"2016-07-03 15:45:27.544224","-1","1"
"2016-07-04 10:30:04.476356","1","1"
"2016-07-04 17:18:26.772579","1","1"
"2016-07-05 19:59:39.429742","1","1"
"2016-07-06 13:37:13.553798","1","1"
"2016-07-06 19:08:30.915563","2","2"
"2016-07-07 15:35:24.210033","1","1"
"2016-07-08 01:12:48.882299","1","1"
"2016-07-08 09:22:18.605170","1","1"
"2016-07-08 21:30:22.313984","1","1"
"2016-07-09 16:40:30.160748","1","1"
"2016-07-10 01:51:47.010022","1","1"
"2016-07-11 01:37:37.270051","1","1"
"2016-07-13 18:17:41.564732","1","1"
"2016-07-14 10:10:50.105651","1","1"
"2016-07-15 07:13:14.948160","1","1"
"2016-07-15 09:43:03.421687","1","1"
"2016-07-16 03:51:39.510644","1","1"
"2016-07-16 13:24:26.440174","1","1"
"2016-07-17 04:46:47.089058","1","1"
"2016-07-17 18:09:44.193652","1","1"
"2016-07-17 19:38:57.075982","1","1"
"2016-07-18 03:22:11.875309","1","1"
"2016-07-18 10:36:11.677301","1","1"
"2016-07-18 15:34:54.627844","1","1"
"2016-07-20 08:20:39.537808","0","2"
"2016-07-21 17:34:02.645557","2","2"
"2016-07-23 03:33:01.389748","1","1"
"2016-07-23 18:29:33.370255","1","1"
"2016-07-26 05:25:02.597569","1","1"
"2016-07-26 14:56:58.961822","1","1"
"2016-07-27 21:14:00.193543","1","1"
"2016-07-27 22:33:42.740445","1","1"
"2016-08-02 14:44:36.187129","1","1"
"2016-08-02 21:00:44.972107","1","1"
"2016-08-02 23:29:21.982604","1","1"
"2016-08-03 20:41:19.943909","1","1"
"2016-08-05 15:56:26.815291","1","1"
"2016-08-05 18:23:53.493452","1","1"
"2016-08-07 15:00:29.626028","1","1"
"2016-08-10 23:34:26.047157","1","1"
"2016-08-13 09:41:34.565801","-1","1"
"2016-08-14 19:10:33.794889","1","1"
"2016-08-17 01:27:57.030712","1","1"
"2016-08-21 06:31:31.674746","1","1"
"2016-08-22 00:42:56.301935","2","2"
"2016-08-25 23:23:30.065423","1","1"
"2016-08-26 03:02:53.246327","1","1"
"2016-08-30 04:46:35.140296","-1","1"
"2016-08-31 02:02:12.448768","1","1"
"2016-08-31 14:59:31.743793","1","1"
"2016-09-03 07:08:14.800405","1","1"
"2016-09-04 01:42:56.113087","1","1"
"2016-09-04 10:01:09.325354","-1","1"
"2016-09-05 17:24:08.129448","1","1"
"2016-09-06 03:05:04.573976","1","1"
"2016-09-09 11:17:46.416186","1","1"
"2016-09-10 16:48:41.430235","1","1"
"2016-09-13 03:46:51.943807","1","1"
"2016-09-13 20:15:11.161034","1","1"
"2016-09-14 16:59:25.779879","1","1"
"2016-09-16 10:19:36.759208","1","1"
"2016-09-24 23:19:49.933725","2","2"
"2016-09-25 09:45:23.213310","1","1"
"2016-09-28 18:17:58.092000","1","1"
"2016-09-30 00:13:31.464199","1","1"
"2016-09-30 02:41:06.205870","1","1"
"2016-09-30 05:57:21.508542","1","1"
"2016-10-03 05:48:04.288723","1","1"
"2016-10-05 02:18:16.754802","1","1"
"2016-10-05 23:51:59.310900","1","1"
"2016-10-07 13:17:47.799453","-1","1"
"2016-10-09 09:19:52.637350","1","1"
"2016-10-09 12:24:43.743055","1","1"
"2016-10-12 04:39:36.938968","1","1"
"2016-10-12 07:53:21.282895","1","1"
"2016-10-12 16:28:11.784869","1","1"
"2016-10-13 03:14:42.967169","1","1"
"2016-10-13 14:57:29.705688","1","1"
"2016-10-15 19:09:39.351356","1","1"
"2016-10-15 22:24:38.273584","1","1"
"2016-10-16 02:20:04.013337","1","1"
"2016-10-16 07:29:18.495297","2","2"
"2016-10-16 23:48:35.049440","1","1"
"2016-10-17 12:43:36.678383","1","1"
"2016-10-17 16:37:32.407908","1","1"
"2016-10-18 21:23:15.629481","1","1"
"2016-10-19 05:17:42.645500","1","1"
"2016-10-19 16:52:49.956794","1","1"
"2016-10-20 05:41:49.339747","1","1"
"2016-10-21 03:22:04.277429","0","2"
"2016-10-23 02:14:24.939238","1","1"
"2016-10-23 08:36:01.133106","-1","3"
"2016-10-23 23:23:17.576250","1","1"
"2016-10-24 00:34:23.416725","0","2"
"2016-10-24 22:04:22.527545","1","1"
"2016-10-27 20:12:26.973376","0","2"
"2016-10-28 21:15:17.804010","1","1"
"2016-10-29 06:00:31.348372","1","1"
"2016-10-29 15:56:15.843029","0","2"
"2016-10-30 00:27:56.909577","1","1"
"2016-11-01 10:47:01.430146","1","1"
"2016-11-01 13:34:17.504376","1","1"
"2016-11-01 15:45:07.718670","-1","1"
"2016-11-01 22:50:25.173987","1","1"
"2016-11-03 20:50:02.230323","1","1"
"2016-11-04 19:09:48.976038","1","1"
"2016-11-04 22:19:26.557836","1","1"
"2016-11-05 11:12:50.041701","1","1"
"2016-11-06 18:02:45.718397","0","2"
"2016-11-07 14:41:36.574210","1","1"
"2016-11-10 04:45:01.270408","1","1"
"2016-11-10 19:43:29.254372","1","1"
"2016-11-11 08:26:01.288519","1","1"
"2016-11-11 10:53:03.401631","1","1"
"2016-11-11 20:15:07.493165","1","1"
"2016-11-12 19:19:49.750137","1","1"
"2016-11-13 07:00:19.598989","1","1"
"2016-11-13 12:08:38.405925","1","1"
"2016-11-13 19:50:09.121360","1","1"
"2016-11-14 00:57:22.970634","1","1"
"2016-11-15 15:33:51.084467","2","2"
"2016-11-18 17:39:58.681941","1","1"
"2016-11-19 15:19:23.273967","1","1"
"2016-11-20 11:15:55.164719","1","1"
"2016-11-22 18:05:05.519178","1","1"
"2016-11-22 22:20:23.657499","1","1"
"2016-11-26 10:49:42.057637","1","1"
"2016-11-28 18:16:58.710698","1","1"
"2016-12-01 03:38:33.818555","1","1"
"2016-12-04 18:10:44.785635","1","1"
"2016-12-04 21:22:44.762517","1","1"
"2016-12-07 02:19:27.124887","1","1"
"2016-12-08 18:10:39.531622","1","1"
"2016-12-08 19:57:37.485324","-1","1"
"2016-12-09 01:23:02.087915","1","1"
"2016-12-09 08:29:53.838794","-1","1"
"2016-12-11 11:11:11.808818","1","1"
"2016-12-11 15:39:22.731186","1","1"
"2016-12-12 09:09:05.620211","1","1"
"2016-12-14 06:30:05.049759","1","1"
"2016-12-16 02:00:37.104181","1","1"
"2016-12-16 05:20:26.571437","1","1"
"2016-12-16 15:46:24.281029","1","1"
"2016-12-16 23:00:09.665612","2","2"
"2016-12-17 18:33:58.102760","1","1"
"2016-12-18 00:17:24.562055","-1","1"
"2016-12-18 03:50:37.012354","2","2"
"2016-12-18 05:46:32.234913","1","1"
"2016-12-18 12:25:55.466338","1","1"
"2016-12-18 18:57:19.117557","1","1"
"2016-12-18 23:56:20.000554","1","1"
"2016-12-19 07:44:22.045488","1","1"
"2016-12-22 18:51:45.048171","2","2"
"2016-12-24 02:35:37.731028","1","1"
"2016-12-24 04:25:38.928880","1","1"
"2016-12-24 23:37:35.278249","1","1"
"2016-12-25 17:46:28.915198","1","1"
"2016-12-27 07:20:42.689341","1","1"
"2016-12-27 10:53:15.141870","1","1"
"2016-12-28 15:29:28.326619","-1","1"
"2016-12-31 23:09:23.588939","-1","1"
"2017-01-02 03:06:31.162649","1","1"
"2017-01-04 18:58:36.816704","1","1"
"2017-01-07 00:30:35.264566","-1","1"
"2017-01-14 03:44:45.069557","1","1"
"2017-01-14 07:42:59.629902","1","1"
"2017-01-17 04:25:10.351366","-1","1"
"2017-01-18 17:44:05.441452","1","3"
"2017-01-20 19:41:21.433601","2","2"
"2017-01-24 02:22:47.758739","1","1"
"2017-01-24 06:22:24.096651","1","1"
"2017-01-24 08:16:31.985052","1","1"
"2017-01-25 10:20:30.622327","1","1"
"2017-01-25 16:01:40.435473","-1","1"
"2017-01-25 21:42:05.430573","1","1"
"2017-01-26 00:14:21.516219","1","1"
"2017-01-26 14:55:58.734567","1","1"
"2017-01-26 17:56:21.421612","1","1"
"2017-01-27 01:20:19.641454","3","3"
"2017-01-31 04:41:30.491496","1","1"
"2017-02-02 22:05:22.132408","1","1"
"2017-02-03 21:21:11.718416","0","2"
"2017-02-05 16:46:34.830528","1","1"
"2017-02-05 19:20:19.553953","1","1"
"2017-02-09 00:16:42.143861","1","1"
"2017-02-10 00:13:20.278494","1","1"
"2017-02-12 06:10:44.585212","2","2"
"2017-02-12 12:23:59.695288","1","1"
"2017-02-14 17:35:46.893085","-1","1"
"2017-02-16 01:04:00.404958","1","1"
"2017-02-19 05:08:50.953056","1","1"
"2017-02-20 15:49:43.895350","1","1"
"2017-02-20 18:29:49.621436","-1","1"
"2017-02-26 16:16:14.889942","1","1"
"2017-02-26 22:11:57.949748","1","1"
"2017-02-27 18:44:10.613487","1","1"
"2017-02-27 22:45:42.012490","1","1"
"2017-02-28 02:42:41.891778","1","1"
"2017-03-02 02:06:20.453351","1","1"
"2017-03-02 08:38:10.147133","1","1"
"2017-03-04 15:20:25.864521","1","1"
"2017-03-05 18:00:26.671501","1","1"
"2017-03-10 01:37:11.045085","-1","1"
"2017-03-12 17:15:53.734920","2","2"
"2017-03-23 02:36:47.489706","-1","1"
"2017-03-25 13:41:57.446529","1","1"
"2017-03-27 16:07:34.740482","-1","1"
"2017-03-29 08:31:57.070135","-1","1"
"2017-03-31 07:07:10.834434","1","1"
"2017-04-01 10:20:54.035496","1","1"
"2017-04-01 16:08:08.587272","1","1"
"2017-04-10 10:06:21.098003","1","1"
"2017-04-16 17:32:34.269633","1","1"
"2017-04-22 21:02:27.534946","1","1"
"2017-04-24 15:55:33.129113","1","1"
"2017-04-24 20:58:57.197211","1","1"
